,method,rotation,err,ll,brier,ece
0,MAP,0,0.0055,-0.0179187227040529,0.008828118443489,0.001297453549524
1,MAP,30,0.0916,-0.3172405660152435,0.1426483690738678,0.0398635144621535
2,MAP,60,0.6238,-3.433685064315796,1.0325517654418943,0.4591777939439057
3,MAP,90,0.8357,-6.069594383239746,1.3992431163787842,0.6407408374071222
4,MAP,120,0.7754,-6.582309246063232,1.305964112281799,0.5934311488777522
5,MAP,150,0.6263,-6.08603572845459,1.0667928457260132,0.4779814397871673
6,MAP,180,0.5472,-6.643350601196289,0.9729404449462892,0.4458418136090245
7,subnet_5K,0,0.0062,-0.0186962969601154,0.0093958983197808,0.0020308069020304
8,subnet_5K,30,0.0899,-0.2872846722602844,0.1358970403671264,0.0257952929199066
9,subnet_5K,60,0.6224,-2.92803955078125,0.9893866181373596,0.4225820291638603
10,subnet_5K,90,0.8374,-5.109302043914795,1.3413947820663452,0.5991244726210936
11,subnet_5K,120,0.7744,-5.55750846862793,1.2594013214111328,0.5523982672631875
12,subnet_5K,150,0.6266,-5.172565460205078,1.0340783596038818,0.4467927319526855
13,subnet_5K,180,0.5496,-5.653649806976318,0.9517439603805542,0.4264919877559143
14,layer_aware_backward_5K,0,0.0057,-0.0176794007420539,0.0087413396686315,0.0020149477243178
15,layer_aware_backward_5K,30,0.0884,-0.2834062874317169,0.1339335739612579,0.0229358377009961
16,layer_aware_backward_5K,60,0.6217,-2.9174680709838867,0.9870780110359192,0.4217272337958451
17,layer_aware_backward_5K,90,0.8346,-5.115682125091553,1.3431302309036257,0.597693402108561
18,layer_aware_backward_5K,120,0.7747,-5.551659107208252,1.260056972503662,0.5540944986030596
19,layer_aware_backward_5K,150,0.6281,-5.179980278015137,1.0361056327819824,0.4483642272561972
20,layer_aware_backward_5K,180,0.5473,-5.65802001953125,0.9513126015663148,0.4237798673272347
35,layer_aware_forward_5K,0,0.0055,-0.018342200666666,0.0090020662173628,0.0019449592739022
36,layer_aware_forward_5K,30,0.0917,-0.2854527533054352,0.1359563469886779,0.0271645398766056
37,layer_aware_forward_5K,60,0.6214,-2.9242966175079346,0.9899246096611024,0.4205776045412067
38,layer_aware_forward_5K,90,0.8369,-5.115124225616455,1.3426883220672607,0.5994872542411196
39,layer_aware_forward_5K,120,0.7761,-5.56610918045044,1.2606327533721924,0.5570181030511988
40,layer_aware_forward_5K,150,0.6279,-5.177583694458008,1.0339974164962769,0.448459550112504
41,layer_aware_forward_5K,180,0.5493,-5.6542649269104,0.9528156518936156,0.4250719443649258
0,SNR_5K,0,0.0044,-0.011949519626796246,0.006397037301212549,0.000796286177628441
1,SNR_5K,30,0.0783,-0.25828874111175537,0.120265893638134,0.028344765746626074
2,SNR_5K,60,0.5964,-3.152569055557251,0.9695884585380554,0.4214454054087634
3,SNR_5K,90,0.8227,-6.008784294128418,1.365752100944519,0.6219679399907703
4,SNR_5K,120,0.7738,-6.54449987411499,1.307924747467041,0.5971632768452293
5,SNR_5K,150,0.6217,-6.5148491859436035,1.092286467552185,0.5037548847139046
6,SNR_5K,180,0.5677,-7.103821277618408,1.0266380310058594,0.48264420321585544
